trade_date,signal,strategy_pnl,cum_strategy,cum_buyhold
2023-01-05,0,0.0,0.0,0.0
2023-05-12,0,0.0,0.0,0.0
2024-01-01,0,-0.0,0.0,-129.53146
2024-01-02,1,0.0,0.0,-129.53146
2024-01-03,1,8244.241409,8244.241409,8114.709949
2024-01-04,1,2507.963406,10752.204815000001,10622.673354999999
2024-01-05,1,0.0,10752.204815000001,10622.673354999999
2024-01-06,1,91.510419,10843.715234000001,10714.183774
2024-01-07,1,5065.839308,15909.554542000002,15780.023082
2024-01-08,1,167.080017,16076.634559000002,15947.103099
2024-01-09,1,137.433093,16214.067652000002,16084.536192
2024-01-10,0,0.0,16214.067652000002,16084.536192
2024-01-11,1,1040.475736,17254.543388000002,17125.011928
2024-01-12,0,0.0,17254.543388000002,58011.376422
2024-02-01,1,783.979116,18038.522504,58795.355538
2024-02-02,1,456.423473,18494.945977,59251.779011000006
2024-02-03,1,230.90060000000005,18725.846577,59482.67961100001
2024-02-04,1,883.760812,19609.607389,60366.44042300001
2024-02-06,1,192.906947,19802.514336,60559.34737000001
2024-02-07,1,2421.253116,22223.767452,62980.60048600001
2024-02-08,1,782.3681909999999,23006.135643,63762.96867700001
2024-02-09,1,0.0,23006.135643,63762.96867700001
2024-02-10,1,0.0,23006.135643,63762.96867700001
2024-02-11,1,0.0,23006.135643,63762.96867700001
2024-02-12,1,18489.604313,41495.739956000005,82252.57299000002
2024-03-01,1,866.015507,42361.755463,83118.58849700002
2024-03-02,0,0.0,42361.755463,83341.89768400003
2024-03-03,0,0.0,42361.755463,91702.98392900002
2024-03-04,0,0.0,42361.755463,91829.77232900003
2024-03-05,0,0.0,42361.755463,97135.78937400003
2024-03-06,0,0.0,42361.755463,97698.59758200003
2024-03-07,0,0.0,42361.755463,98816.98486600003
2024-03-08,0,0.0,42361.755463,99281.17456600003
2024-03-10,0,0.0,42361.755463,99381.55034800003
2024-03-11,0,0.0,42361.755463,99381.55034800003
2024-03-12,0,0.0,42361.755463,122958.08963300003
2024-04-01,0,-0.0,42361.755463,122890.48599300002
2024-04-02,0,0.0,42361.755463,122938.10988800002
2024-04-03,0,0.0,42361.755463,150737.88563000003
2024-04-04,1,0.0,42361.755463,150737.88563000003
2024-04-05,1,0.0,42361.755463,150737.88563000003
2024-04-06,0,0.0,42361.755463,150790.09706800003
2024-04-07,0,0.0,42361.755463,150790.09706800003
2024-04-08,0,-0.0,42361.755463,28118.09618500003
2024-04-09,0,0.0,42361.755463,29183.881317000032
2024-04-10,0,0.0,42361.755463,29183.881317000032
2024-04-11,0,0.0,42361.755463,31983.291791000032
2024-04-12,0,0.0,42361.755463,324875.10681200004
2024-05-01,0,0.0,42361.755463,325039.24837700004
2024-05-02,0,-0.0,42361.755463,325005.79418300005
2024-05-03,0,0.0,42361.755463,344796.820224
2024-05-04,0,0.0,42361.755463,355503.30453
2024-05-05,1,0.916,42362.671463,355504.22053000005
2024-05-06,1,56.055506,42418.726968999996,355560.27603600005
2024-05-07,1,0.0,42418.726968999996,355560.27603600005
2024-05-08,1,-13013.665169,29405.061799999996,342546.61086700007
2024-05-09,1,0.0,29405.061799999996,342546.61086700007
2024-05-10,1,5767.161892,35172.223692,348313.7727590001
2024-05-11,1,678.4759280000001,35850.69962,348992.2486870001
2024-05-12,0,0.0,35850.69962,420566.3671750001
2024-06-01,1,135.58166400000002,35986.281284,420701.9488390001
2024-06-02,1,-215.615907,35770.665377,420486.33293200005
2024-06-03,1,6814.825139,42585.490516,427301.15807100007
2024-06-04,1,236.335134,42821.82565,427537.49320500006
2024-06-05,1,968.59038,43790.41603,428506.0835850001
2024-06-06,0,0.0,43790.41603,428780.25677200005
2024-06-07,0,0.0,43790.41603,428889.12895000004
2024-06-08,0,0.0,43790.41603,429156.446998
2024-06-09,1,-1104.856765,42685.559265,428051.59023300005
